val_acc;test_acc;config
0.9675925970077515;0.9768518805503845;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.0, 'version': 44, 'trial': 0}
0.96875;0.9791666865348816;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.1, 'version': 45, 'trial': 0}
0.9768518805503845;0.9745370149612427;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.001, 'version': 46, 'trial': 0}
0.975694477558136;0.9579474925994873;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/prismatic'], 'l2': 0.0, 'version': 47, 'trial': 0}
0.6468750238418579;0.46562498807907104;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/extrude'], 'l2': 0.1, 'version': 48, 'trial': 0}
0.453125;0.3687500059604645;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/extrude'], 'l2': 0.001, 'version': 49, 'trial': 0}
0.453125;0.6781250238418579;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/extrude'], 'l2': 0.0, 'version': 50, 'trial': 0}
0.46562498807907104;0.4468750059604645;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/extrude'], 'l2': 0.1, 'version': 51, 'trial': 0}
0.6499999761581421;0.581250011920929;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/extrude'], 'l2': 0.001, 'version': 52, 'trial': 0}
0.46875;0.550000011920929;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/extrude'], 'l2': 0.0, 'version': 53, 'trial': 0}
0.7333333492279053;0.7666666507720947;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/wheel'], 'l2': 0.1, 'version': 54, 'trial': 0}
0.699999988079071;0.8666666746139526;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/wheel'], 'l2': 0.001, 'version': 55, 'trial': 0}
0.7666666507720947;0.7333333492279053;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/wheel'], 'l2': 0.0, 'version': 56, 'trial': 0}
0.8333333134651184;0.7666666507720947;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/wheel'], 'l2': 0.1, 'version': 57, 'trial': 0}
0.8333333134651184;0.9333333373069763;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/wheel'], 'l2': 0.001, 'version': 58, 'trial': 0}
0.800000011920929;0.800000011920929;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/wheel'], 'l2': 0.0, 'version': 59, 'trial': 0}
0.7357954382896423;0.7286931872367859;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/angular'], 'l2': 0.1, 'version': 60, 'trial': 0}
0.7450283765792847;0.7443181872367859;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/angular'], 'l2': 0.001, 'version': 61, 'trial': 0}
0.7677556872367859;0.7826704382896423;{'data_root': '../uvnet_data/abc_sub_mu_only', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/angular'], 'l2': 0.0, 'version': 62, 'trial': 0}
0.7904829382896423;0.7365056872367859;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/angular'], 'l2': 0.1, 'version': 63, 'trial': 0}
0.7130681872367859;0.7826704382896423;{'data_root': '../psnet_data/abc_all', 'cats_dirs': ['abc_quant_data/image_cats/free_form', 'abc_quant_data/image_cats/angular'], 'l2': 0.001, 'version': 64, 'trial': 0}
